commit,metric,unit,direction,p50
7f8f30ac7e90e601eba9315a6a838b7f64b97315,cold_start_base,ms,lower,270.1
7f8f30ac7e90e601eba9315a6a838b7f64b97315,cold_start_clocksource,ms,lower,270.9
7f8f30ac7e90e601eba9315a6a838b7f64b97315,cold_start_cryptomgr_notests,ms,lower,270.5
7f8f30ac7e90e601eba9315a6a838b7f64b97315,cold_start_mitigations_off,ms,lower,235.7
7f8f30ac7e90e601eba9315a6a838b7f64b97315,cold_start_no_timer_check,ms,lower,229.2
7f8f30ac7e90e601eba9315a6a838b7f64b97315,cold_start_nokaslr,ms,lower,269.6
7f8f30ac7e90e601eba9315a6a838b7f64b97315,cold_start_random_trust_cpu,ms,lower,269.5
7f8f30ac7e90e601eba9315a6a838b7f64b97315,cold_start_rcu_expedited,ms,lower,271.1
7f8f30ac7e90e601eba9315a6a838b7f64b97315,cold_start_tsc_reliable,ms,lower,270.2
7f8f30ac7e90e601eba9315a6a838b7f64b97315,network_snapshot_cold,ms,lower,279.6
7f8f30ac7e90e601eba9315a6a838b7f64b97315,network_snapshot_restore,ms,lower,36.6
7f8f30ac7e90e601eba9315a6a838b7f64b97315,network_snapshot_restore_wall,ms,lower,107.4
7f8f30ac7e90e601eba9315a6a838b7f64b97315,openvmm_cold_start,ms,lower,194.92717
7f8f30ac7e90e601eba9315a6a838b7f64b97315,openvmm_cold_start_guest_exit_teardown,ms,lower,24.940197
7f8f30ac7e90e601eba9315a6a838b7f64b97315,openvmm_cold_start_peak_rss,MiB,lower,70.84375
7f8f30ac7e90e601eba9315a6a838b7f64b97315,openvmm_snapshot_generation,ms,lower,70.02361
7f8f30ac7e90e601eba9315a6a838b7f64b97315,openvmm_snapshot_generation_peak_rss,MiB,lower,72.23828125
7f8f30ac7e90e601eba9315a6a838b7f64b97315,openvmm_snapshot_restore,ms,lower,29.133279
7f8f30ac7e90e601eba9315a6a838b7f64b97315,openvmm_snapshot_restore_guest_exit_teardown,ms,lower,9.64626
7f8f30ac7e90e601eba9315a6a838b7f64b97315,openvmm_snapshot_restore_peak_rss,MiB,lower,50.68359375
7f8f30ac7e90e601eba9315a6a838b7f64b97315,shell_snapshot_cold_128_mib,ms,lower,270.2
7f8f30ac7e90e601eba9315a6a838b7f64b97315,shell_snapshot_cold_256_mib,ms,lower,286.1
7f8f30ac7e90e601eba9315a6a838b7f64b97315,shell_snapshot_cold_512_mib,ms,lower,289.4
7f8f30ac7e90e601eba9315a6a838b7f64b97315,shell_snapshot_cold_64_mib,ms,lower,267.1
7f8f30ac7e90e601eba9315a6a838b7f64b97315,shell_snapshot_restore_128_mib,ms,lower,30.8
7f8f30ac7e90e601eba9315a6a838b7f64b97315,shell_snapshot_restore_256_mib,ms,lower,34.8
7f8f30ac7e90e601eba9315a6a838b7f64b97315,shell_snapshot_restore_512_mib,ms,lower,38.5
7f8f30ac7e90e601eba9315a6a838b7f64b97315,shell_snapshot_restore_64_mib,ms,lower,29.7
7f8f30ac7e90e601eba9315a6a838b7f64b97315,virtfs_live_read,MB/s,higher,938.8
7f8f30ac7e90e601eba9315a6a838b7f64b97315,virtfs_live_roundtrip,ms,lower,439.6
7f8f30ac7e90e601eba9315a6a838b7f64b97315,virtfs_live_write,MB/s,higher,738.3
a63204107d8ec4b8ca60c9bb848f7152321ff46c,cold_start_base,ms,lower,272
a63204107d8ec4b8ca60c9bb848f7152321ff46c,cold_start_clocksource,ms,lower,271.2
a63204107d8ec4b8ca60c9bb848f7152321ff46c,cold_start_cryptomgr_notests,ms,lower,270.7
a63204107d8ec4b8ca60c9bb848f7152321ff46c,cold_start_mitigations_off,ms,lower,234.5
a63204107d8ec4b8ca60c9bb848f7152321ff46c,cold_start_no_timer_check,ms,lower,229.9
a63204107d8ec4b8ca60c9bb848f7152321ff46c,cold_start_nokaslr,ms,lower,271.5
a63204107d8ec4b8ca60c9bb848f7152321ff46c,cold_start_random_trust_cpu,ms,lower,271.3
a63204107d8ec4b8ca60c9bb848f7152321ff46c,cold_start_rcu_expedited,ms,lower,272.9
a63204107d8ec4b8ca60c9bb848f7152321ff46c,cold_start_tsc_reliable,ms,lower,270.8
a63204107d8ec4b8ca60c9bb848f7152321ff46c,network_snapshot_cold,ms,lower,291.3
a63204107d8ec4b8ca60c9bb848f7152321ff46c,network_snapshot_restore,ms,lower,35.8
a63204107d8ec4b8ca60c9bb848f7152321ff46c,network_snapshot_restore_wall,ms,lower,119.9
a63204107d8ec4b8ca60c9bb848f7152321ff46c,openvmm_cold_start,ms,lower,195.58442
a63204107d8ec4b8ca60c9bb848f7152321ff46c,openvmm_cold_start_guest_exit_teardown,ms,lower,23.464371
a63204107d8ec4b8ca60c9bb848f7152321ff46c,openvmm_cold_start_peak_rss,MiB,lower,70.84765625
a63204107d8ec4b8ca60c9bb848f7152321ff46c,openvmm_snapshot_generation,ms,lower,47.385738
a63204107d8ec4b8ca60c9bb848f7152321ff46c,openvmm_snapshot_generation_peak_rss,MiB,lower,72.18359375
a63204107d8ec4b8ca60c9bb848f7152321ff46c,openvmm_snapshot_restore,ms,lower,27.634548
a63204107d8ec4b8ca60c9bb848f7152321ff46c,openvmm_snapshot_restore_guest_exit_teardown,ms,lower,9.17185
a63204107d8ec4b8ca60c9bb848f7152321ff46c,openvmm_snapshot_restore_peak_rss,MiB,lower,50.69140625
a63204107d8ec4b8ca60c9bb848f7152321ff46c,shell_snapshot_cold_128_mib,ms,lower,280.6
a63204107d8ec4b8ca60c9bb848f7152321ff46c,shell_snapshot_cold_256_mib,ms,lower,280.6
a63204107d8ec4b8ca60c9bb848f7152321ff46c,shell_snapshot_cold_512_mib,ms,lower,289.6
a63204107d8ec4b8ca60c9bb848f7152321ff46c,shell_snapshot_cold_64_mib,ms,lower,276.7
a63204107d8ec4b8ca60c9bb848f7152321ff46c,shell_snapshot_restore_128_mib,ms,lower,30.8
a63204107d8ec4b8ca60c9bb848f7152321ff46c,shell_snapshot_restore_256_mib,ms,lower,33.1
a63204107d8ec4b8ca60c9bb848f7152321ff46c,shell_snapshot_restore_512_mib,ms,lower,38.5
a63204107d8ec4b8ca60c9bb848f7152321ff46c,shell_snapshot_restore_64_mib,ms,lower,29.3
a63204107d8ec4b8ca60c9bb848f7152321ff46c,virtfs_live_read,MB/s,higher,930.7
a63204107d8ec4b8ca60c9bb848f7152321ff46c,virtfs_live_roundtrip,ms,lower,435.9
a63204107d8ec4b8ca60c9bb848f7152321ff46c,virtfs_live_write,MB/s,higher,730.7
22eb4941fa9cc80b463cc3f38e652958c01644be,cold_start_base,ms,lower,277.7
22eb4941fa9cc80b463cc3f38e652958c01644be,cold_start_clocksource,ms,lower,276.8
22eb4941fa9cc80b463cc3f38e652958c01644be,cold_start_cryptomgr_notests,ms,lower,277.1
22eb4941fa9cc80b463cc3f38e652958c01644be,cold_start_mitigations_off,ms,lower,239.9
22eb4941fa9cc80b463cc3f38e652958c01644be,cold_start_no_timer_check,ms,lower,234.4
22eb4941fa9cc80b463cc3f38e652958c01644be,cold_start_nokaslr,ms,lower,275.8
22eb4941fa9cc80b463cc3f38e652958c01644be,cold_start_random_trust_cpu,ms,lower,277.8
22eb4941fa9cc80b463cc3f38e652958c01644be,cold_start_rcu_expedited,ms,lower,276
22eb4941fa9cc80b463cc3f38e652958c01644be,cold_start_tsc_reliable,ms,lower,274.8
22eb4941fa9cc80b463cc3f38e652958c01644be,network_snapshot_cold,ms,lower,296.9
22eb4941fa9cc80b463cc3f38e652958c01644be,network_snapshot_restore,ms,lower,39.6
22eb4941fa9cc80b463cc3f38e652958c01644be,network_snapshot_restore_wall,ms,lower,115.7
22eb4941fa9cc80b463cc3f38e652958c01644be,openvmm_cold_start,ms,lower,200.813613
22eb4941fa9cc80b463cc3f38e652958c01644be,openvmm_cold_start_guest_exit_teardown,ms,lower,25.111376
22eb4941fa9cc80b463cc3f38e652958c01644be,openvmm_cold_start_peak_rss,MiB,lower,70.78515625
22eb4941fa9cc80b463cc3f38e652958c01644be,openvmm_snapshot_generation,ms,lower,52.82884
22eb4941fa9cc80b463cc3f38e652958c01644be,openvmm_snapshot_generation_peak_rss,MiB,lower,72.1796875
22eb4941fa9cc80b463cc3f38e652958c01644be,openvmm_snapshot_restore,ms,lower,30.270151
22eb4941fa9cc80b463cc3f38e652958c01644be,openvmm_snapshot_restore_guest_exit_teardown,ms,lower,10.09825
22eb4941fa9cc80b463cc3f38e652958c01644be,openvmm_snapshot_restore_peak_rss,MiB,lower,50.6796875
22eb4941fa9cc80b463cc3f38e652958c01644be,shell_snapshot_cold_128_mib,ms,lower,286.7
22eb4941fa9cc80b463cc3f38e652958c01644be,shell_snapshot_cold_256_mib,ms,lower,293.6
22eb4941fa9cc80b463cc3f38e652958c01644be,shell_snapshot_cold_512_mib,ms,lower,298.3
22eb4941fa9cc80b463cc3f38e652958c01644be,shell_snapshot_cold_64_mib,ms,lower,273.1
22eb4941fa9cc80b463cc3f38e652958c01644be,shell_snapshot_restore_128_mib,ms,lower,33.3
22eb4941fa9cc80b463cc3f38e652958c01644be,shell_snapshot_restore_256_mib,ms,lower,36.3
22eb4941fa9cc80b463cc3f38e652958c01644be,shell_snapshot_restore_512_mib,ms,lower,41.1
22eb4941fa9cc80b463cc3f38e652958c01644be,shell_snapshot_restore_64_mib,ms,lower,31.9
22eb4941fa9cc80b463cc3f38e652958c01644be,virtfs_live_read,MB/s,higher,891.2
22eb4941fa9cc80b463cc3f38e652958c01644be,virtfs_live_roundtrip,ms,lower,435.5
22eb4941fa9cc80b463cc3f38e652958c01644be,virtfs_live_write,MB/s,higher,704.9
