platform,microvm_abi_version,processors,commit,metric,unit,direction,p50
windows-whp-virtual-machine,2,8,441f45568e65f66eced419ff9d289e2627a58f0f,shell_snapshot_restore_512_mib,ms,lower,219.7
windows-whp-virtual-machine,2,8,22003726a9ec9046fdecfc904515221441dfb3c3,shell_snapshot_restore_512_mib,ms,lower,187.7
windows-whp-virtual-machine,2,8,142587bbceae27ef94e08862d6a3e44024eac9e9,shell_snapshot_restore_512_mib,ms,lower,208.8
windows-whp-virtual-machine,2,8,3644cbc18c57b900c61bdcd0ce8b6a64586f7b4b,shell_snapshot_restore_512_mib,ms,lower,212.7
